name,source_url,license,status,planned_use,local_path,notes
Kenney Car Kit,https://kenney.nl/assets/car-kit,CC0,downloaded,player and traffic vehicles,assets/raw/kenney_car-kit.zip,License.txt inspected; selected GLB and texture copied to assets/game
Kenney Racing Kit,https://kenney.nl/assets/racing-kit,CC0,downloaded,roadside props and track parts,assets/raw/kenney_racing-kit.zip,License.txt inspected; use only selected consistent props
Kenney Nature Kit,https://kenney.nl/assets/nature-kit,CC0,downloaded,trees rocks and foliage,assets/raw/kenney_nature-kit.zip,License.txt inspected; use a small consistent subset
Kenney Nature Kit H1 selection,https://kenney.nl/assets/nature-kit,CC0,integrated,test field trees and rocks,assets/game/nature,tree_pineTallA.glb and rock_largeA.glb with License.txt; reproducible via tools/prepare_h1_assets.py
Microsoft YaHei,Windows system font,Microsoft Windows font license,local-system,Chinese UI,C:/Windows/Fonts/msyh.ttc,Loaded from the installed Windows system; font file is not copied or redistributed
Poly Haven Industrial Sunset Pure Sky,https://polyhaven.com/a/industrial_sunset_puresky,CC0,integrated,sky dome,assets/game/sky/industrial_sunset_puresky.jpg,Tonemapped 8K JPG; 16038282 bytes; source MD5 be98161b9ba68820ae9cd80a41d37d97
Poly Haven Asphalt Floor,https://polyhaven.com/a/asphalt_floor,CC0,integrated,road diffuse material,assets/game/materials/asphalt_floor_diff_2k.jpg,2K JPG; source MD5 7862881b57c46b192ddeb2925e4c1fe3; fetched by tools/prepare_phase6b_materials.py
Poly Haven Grass Ground,https://polyhaven.com/a/grass_ground,CC0,integrated,terrain diffuse material,assets/game/materials/grass_ground_diff_2k.jpg,2K JPG; source MD5 fd97f2402677e6686b2d9159fc3a4256; fetched by tools/prepare_phase6b_materials.py
Kenney Nature Kit 6B selection,https://kenney.nl/assets/nature-kit,CC0,integrated,alternate pine and roadside bushes,assets/game/nature,tree_pineTallB.glb and plant_bushLargeTriangle.glb copied from existing archive by tools/prepare_phase6b_nature.py
CoastalDrive procedural driving sounds,project-generated,project source,replaced,old engine road and impact clips,historical 0.8.1,Replaced after user audition identified artificial road engine and collision character
Car Engine Loop 96kHz 4s,https://opengameart.org/content/car-engine-loop-96khz-4s,CC-BY 3.0,integrated,revving engine loop,assets/game/audio/engine.wav,qubodup recording; downmixed and gain reduced; attribution in assets/game/audio/License.txt
Engine Idle,https://freesound.org/people/microman502/sounds/818291/,CC0,integrated,idle engine loop,assets/game/audio/engine_idle.wav,Real car recording; HQ preview excerpt and loop crossfade; attribution in assets/game/audio/License.txt
Car driving ambience,https://freesound.org/people/priesjensen/sounds/495795/,CC0,integrated,quiet tire and road texture,assets/game/audio/road.wav,Real interior driving recording; HQ preview excerpt filtered and looped; attribution in assets/game/audio/License.txt
S022 Plastic Impact,https://freesound.org/people/P%C3%B3l/sounds/385940/,CC0,retired,old single-clip impact,removed 6B impact files,User audition rejected the old collision mix; historical source retained in this register
S021 Metal Impact,https://freesound.org/people/P%C3%B3l/sounds/385937/,CC0,retired,old single-clip impact,removed 6B impact files,User audition rejected the old collision mix; historical source retained in this register
S023 Metal Rail Scrape,https://freesound.org/people/P%C3%B3l/sounds/385939/,CC0,retired,old single-clip scrape,removed 6B impact files,User audition rejected the old collision mix; historical source retained in this register
S020 Rock Impact,https://freesound.org/people/P%C3%B3l/sounds/385938/,CC0,retired,old single-clip impact,removed 6B impact files,User audition rejected the old collision mix; historical source retained in this register
MTLimpt Car Body Bang x17,https://freesound.org/people/harrisonlace/sounds/798843/,CC0,integrated,car body and transient layers,assets/game/audio/impact/,High-quality preview excerpted from 17 genuine empty-car-body strikes; source and output hashes in prepare_impact_audio.py and impact-bank.json
